asset_id,name,source_url,type,size,frames,style_tags,mood_tags,story_tags,scene_use,usage_case,notes
PX-PH-001,占位-素材-1,TBD,background,32x32,1,pixel,placeholder,neutral,复读-年1,special|daily,寻源待替,draft
PX-PH-002,占位-素材-2,TBD,background,32x32,1,pixel,placeholder,neutral,复读-年2,special|daily,寻源待替,draft
PX-PH-003,占位-素材-3,TBD,background,32x32,1,pixel,placeholder,neutral,复读-年3,special|daily,寻源待替,draft
PX-PH-004,占位-素材-4,TBD,background,32x32,1,pixel,placeholder,neutral,复读-年4,special|daily,寻源待替,draft
PX-PH-005,占位-素材-5,TBD,background,32x32,1,pixel,placeholder,neutral,复读-年5,special|daily,寻源待替,draft
PX-PH-006,占位-素材-6,TBD,background,32x32,1,pixel,placeholder,neutral,复读-年6,special|daily,寻源待替,draft
PX-PH-007,占位-素材-7,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-年7,special|daily,寻源待替,draft
PX-PH-008,占位-素材-8,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-009,占位-素材-9,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-010,占位-素材-10,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-011,占位-素材-11,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-012,占位-素材-12,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-013,占位-素材-13,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-014,占位-素材-14,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-015,占位-素材-15,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-016,占位-素材-16,TBD,prop,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-017,占位-素材-17,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-018,占位-素材-18,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-019,占位-素材-19,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-020,占位-素材-20,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-021,占位-素材-21,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-022,占位-素材-22,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-023,占位-素材-23,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-024,占位-素材-24,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-025,占位-素材-25,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-026,占位-素材-26,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-027,占位-素材-27,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-028,占位-素材-28,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-029,占位-素材-29,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
PX-PH-030,占位-素材-30,TBD,character,32x32,4,pixel,placeholder,neutral,复读-shared,special|daily,寻源待替,draft
